epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,87719.3,1.4325,1.377,1.11446,0.42509,0.40067,0.36914,0.21014,1.25353,1.99903,1.00183,0.007195,0.007195,0.007195
87,88729,1.42759,1.37402,1.11299,0.4276,0.40059,0.36972,0.21051,1.25396,2.01666,1.00178,0.007162,0.007162,0.007162
88,89809.6,1.4247,1.36764,1.11363,0.43039,0.39925,0.37045,0.21118,1.25406,2.00999,1.0017,0.007129,0.007129,0.007129
89,90850.9,1.42532,1.36317,1.11244,0.43527,0.396,0.37089,0.21144,1.25395,2.01019,1.0015,0.007096,0.007096,0.007096
90,91902.1,1.42566,1.36584,1.11361,0.43604,0.39559,0.371,0.21153,1.25423,1.99829,1.00139,0.007063,0.007063,0.007063
91,92964,1.42557,1.36018,1.11242,0.43268,0.39626,0.37098,0.21141,1.25461,1.97327,1.00141,0.00703,0.00703,0.00703
92,94060.8,1.42023,1.35023,1.10948,0.43117,0.3996,0.37111,0.21174,1.25493,1.96928,1.00133,0.006997,0.006997,0.006997
93,95126,1.42361,1.35206,1.11108,0.43133,0.39891,0.37072,0.21159,1.25515,1.95228,1.00116,0.006964,0.006964,0.006964
94,96170.2,1.42339,1.35289,1.10957,0.4318,0.39432,0.37011,0.21145,1.25542,1.93253,1.00112,0.006931,0.006931,0.006931
95,97274.4,1.42008,1.34637,1.11015,0.43509,0.39347,0.37056,0.2116,1.25576,1.92037,1.00105,0.006898,0.006898,0.006898
96,98327.4,1.42162,1.34645,1.11085,0.43743,0.39366,0.36972,0.21159,1.25588,1.92154,1.00115,0.006865,0.006865,0.006865
97,99501.8,1.42038,1.34564,1.10978,0.43788,0.39322,0.37037,0.21193,1.25562,1.95344,1.00115,0.006832,0.006832,0.006832
98,100586,1.41827,1.33808,1.11028,0.4356,0.39504,0.36998,0.212,1.25578,1.95456,1.00144,0.006799,0.006799,0.006799
99,101740,1.41923,1.33801,1.10791,0.43936,0.39312,0.37022,0.21223,1.25598,1.93842,1.00156,0.006766,0.006766,0.006766
100,102834,1.42059,1.33333,1.10897,0.4449,0.3917,0.37084,0.21219,1.25583,1.93182,1.00155,0.006733,0.006733,0.006733
101,103911,1.41712,1.33355,1.10779,0.44458,0.39271,0.37018,0.21236,1.25561,1.91913,1.00153,0.0067,0.0067,0.0067
102,104980,1.41412,1.32594,1.10493,0.44341,0.3957,0.37044,0.21257,1.25535,1.89591,1.00148,0.006667,0.006667,0.006667
