epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,75028.8,1.44515,1.42556,1.12474,0.57961,0.19625,0.2119,0.138,1.24797,2.06572,1.00391,0.007624,0.007624,0.007624
74,76083.4,1.44291,1.42164,1.12275,0.58043,0.19648,0.21242,0.13833,1.24858,2.0504,1.00412,0.007591,0.007591,0.007591
75,77145.1,1.44056,1.41804,1.12209,0.58212,0.19653,0.2129,0.13848,1.24851,2.0317,1.00422,0.007558,0.007558,0.007558
76,78209.3,1.44118,1.41256,1.12161,0.57843,0.19838,0.21348,0.13863,1.24924,2.02378,1.00444,0.007525,0.007525,0.007525
77,79313.3,1.43952,1.40772,1.11936,0.56773,0.20046,0.21383,0.13918,1.24919,2.01771,1.00441,0.007492,0.007492,0.007492
78,80404.3,1.4439,1.40452,1.12031,0.57011,0.20049,0.21415,0.13934,1.2493,1.99134,1.00416,0.007459,0.007459,0.007459
79,81452.4,1.43812,1.40615,1.1198,0.58451,0.19738,0.21516,0.13978,1.24991,1.98678,1.00424,0.007426,0.007426,0.007426
80,82497.6,1.44149,1.4027,1.11979,0.58038,0.19793,0.21603,0.14033,1.25041,1.97872,1.00446,0.007393,0.007393,0.007393
81,83572.8,1.43799,1.3991,1.11758,0.5743,0.20099,0.21723,0.1408,1.2513,1.96454,1.00474,0.00736,0.00736,0.00736
82,84657.3,1.43317,1.39181,1.11478,0.57448,0.19995,0.21749,0.14094,1.25171,1.94276,1.00476,0.007327,0.007327,0.007327
83,85712.3,1.43402,1.39347,1.11846,0.57385,0.2031,0.2186,0.14144,1.25237,1.91898,1.00484,0.007294,0.007294,0.007294
84,86722.9,1.42799,1.39061,1.11584,0.57208,0.20357,0.21926,0.14197,1.25284,1.91028,1.00487,0.007261,0.007261,0.007261
85,87799,1.43002,1.38727,1.115,0.57831,0.20409,0.2187,0.14191,1.25354,1.89974,1.00521,0.007228,0.007228,0.007228
86,88847.5,1.43279,1.38627,1.11675,0.59135,0.20418,0.2207,0.1425,1.25361,1.88493,1.00488,0.007195,0.007195,0.007195
87,89895.1,1.42893,1.38289,1.11415,0.58391,0.20429,0.2209,0.14282,1.25347,1.87601,1.00506,0.007162,0.007162,0.007162
88,90957,1.42348,1.37855,1.11464,0.58485,0.20599,0.22069,0.1426,1.2548,1.85393,1.00516,0.007129,0.007129,0.007129
89,92053,1.42574,1.37494,1.1136,0.58748,0.20436,0.22021,0.14242,1.25555,1.85129,1.0053,0.007096,0.007096,0.007096
90,93119.7,1.42827,1.37381,1.11552,0.51867,0.2366,0.22117,0.14304,1.25601,1.8429,1.00533,0.007063,0.007063,0.007063
91,94155,1.42474,1.36808,1.11245,0.51864,0.23543,0.21984,0.1428,1.25594,1.82005,1.00511,0.00703,0.00703,0.00703
92,95268.2,1.42265,1.35973,1.11095,0.52252,0.24618,0.22025,0.1433,1.25653,1.82564,1.00507,0.006997,0.006997,0.006997
93,96321.7,1.42455,1.36197,1.11249,0.46862,0.25225,0.22111,0.14348,1.25717,1.81982,1.00527,0.006964,0.006964,0.006964
94,97499.7,1.42512,1.36566,1.11132,0.46907,0.25361,0.2224,0.14415,1.25705,1.80835,1.00508,0.006931,0.006931,0.006931
95,98579.4,1.42467,1.35765,1.11327,0.47329,0.25376,0.22203,0.14426,1.25676,1.79133,1.00492,0.006898,0.006898,0.006898
96,99734,1.4233,1.35844,1.11104,0.53744,0.25062,0.22223,0.14445,1.25738,1.77538,1.005,0.006865,0.006865,0.006865
97,100826,1.42136,1.35133,1.11134,0.57144,0.23727,0.22296,0.14498,1.25751,1.75867,1.00496,0.006832,0.006832,0.006832
98,101904,1.41989,1.34831,1.11076,0.57645,0.2376,0.22424,0.14555,1.25709,1.74399,1.00503,0.006799,0.006799,0.006799
99,102974,1.42142,1.34639,1.11067,0.56823,0.23712,0.22515,0.1456,1.25668,1.73642,1.00499,0.006766,0.006766,0.006766
100,104071,1.42222,1.34496,1.11044,0.57042,0.2367,0.22468,0.14561,1.25607,1.73814,1.00489,0.006733,0.006733,0.006733
101,105124,1.41756,1.34112,1.1098,0.57276,0.23661,0.2257,0.14549,1.25638,1.71887,1.00489,0.0067,0.0067,0.0067
102,106216,1.41617,1.33745,1.10559,0.58586,0.23792,0.22576,0.14532,1.25655,1.71354,1.00489,0.006667,0.006667,0.006667
103,107293,1.41318,1.33071,1.10722,0.58442,0.23484,0.22603,0.14542,1.25733,1.70856,1.00507,0.006634,0.006634,0.006634
104,108344,1.41045,1.32616,1.10587,0.57166,0.23544,0.22628,0.14588,1.25765,1.70348,1.00523,0.006601,0.006601,0.006601
105,109446,1.41278,1.331,1.10711,0.56742,0.23218,0.22669,0.14607,1.25846,1.68456,1.0055,0.006568,0.006568,0.006568
106,110518,1.41125,1.32658,1.1064,0.50218,0.23527,0.22741,0.14626,1.25871,1.69043,1.00577,0.006535,0.006535,0.006535
107,111691,1.40743,1.31908,1.10439,0.49892,0.23471,0.22786,0.14649,1.25924,1.68952,1.00579,0.006502,0.006502,0.006502
108,112790,1.40955,1.32351,1.1054,0.50196,0.2325,0.22825,0.14684,1.25942,1.70034,1.00596,0.006469,0.006469,0.006469
109,113885,1.40754,1.31717,1.10377,0.5042,0.23581,0.22862,0.14654,1.26043,1.7034,1.00633,0.006436,0.006436,0.006436
110,114953,1.40782,1.31621,1.10314,0.5561,0.23592,0.22846,0.1469,1.2606,1.68854,1.00652,0.006403,0.006403,0.006403
111,116014,1.40721,1.31151,1.10089,0.49004,0.23711,0.2312,0.14775,1.26093,1.66721,1.00687,0.00637,0.00637,0.00637
112,117101,1.40396,1.30811,1.10264,0.48017,0.23663,0.23155,0.14804,1.26158,1.65921,1.00724,0.006337,0.006337,0.006337
113,118211,1.39959,1.30676,1.10106,0.4902,0.23628,0.23155,0.14798,1.26141,1.65756,1.00721,0.006304,0.006304,0.006304
114,119269,1.4008,1.30304,1.1018,0.48813,0.23589,0.23136,0.14864,1.26187,1.6421,1.00725,0.006271,0.006271,0.006271
115,120350,1.40375,1.30546,1.10115,0.41301,0.25143,0.23319,0.14945,1.2623,1.63855,1.00768,0.006238,0.006238,0.006238
116,121394,1.40285,1.29885,1.10034,0.40975,0.2502,0.23254,0.14921,1.26196,1.64289,1.00785,0.006205,0.006205,0.006205
117,122512,1.40491,1.29609,1.1027,0.41607,0.25,0.23295,0.14955,1.26289,1.63901,1.00799,0.006172,0.006172,0.006172
118,123564,1.40146,1.29065,1.09963,0.42989,0.25182,0.23323,0.14954,1.26357,1.6373,1.00804,0.006139,0.006139,0.006139
119,124669,1.39889,1.29299,1.09821,0.43198,0.25047,0.23319,0.14957,1.26337,1.64931,1.00786,0.006106,0.006106,0.006106
120,125735,1.40015,1.2907,1.10033,0.4163,0.25073,0.23322,0.14978,1.26408,1.64217,1.00808,0.006073,0.006073,0.006073
121,126860,1.39398,1.28309,1.09598,0.41615,0.25173,0.23357,0.15008,1.26439,1.63301,1.00824,0.00604,0.00604,0.00604
122,127965,1.39839,1.289,1.0992,0.43081,0.24932,0.23356,0.15004,1.26531,1.62593,1.00874,0.006007,0.006007,0.006007
123,129055,1.39014,1.27773,1.09545,0.43079,0.24576,0.23368,0.15032,1.26582,1.61653,1.00889,0.005974,0.005974,0.005974
124,130164,1.39563,1.28181,1.09631,0.43495,0.2448,0.23339,0.14955,1.26594,1.60825,1.00879,0.005941,0.005941,0.005941
125,131269,1.39436,1.27889,1.09731,0.42957,0.246,0.23356,0.14976,1.26597,1.60004,1.00871,0.005908,0.005908,0.005908
126,132345,1.39312,1.27629,1.09605,0.47641,0.24502,0.23411,0.15004,1.26706,1.59975,1.00892,0.005875,0.005875,0.005875
127,133407,1.38912,1.27044,1.09502,0.48102,0.24661,0.23448,0.1498,1.26715,1.59781,1.009,0.005842,0.005842,0.005842
128,134465,1.39103,1.26901,1.09612,0.47726,0.24361,0.23485,0.15016,1.26761,1.59325,1.00936,0.005809,0.005809,0.005809
129,135538,1.39255,1.26819,1.09457,0.47883,0.24324,0.23494,0.15051,1.26797,1.59241,1.00941,0.005776,0.005776,0.005776
130,136572,1.3855,1.26451,1.09371,0.47223,0.24388,0.23494,0.15043,1.2678,1.59075,1.0093,0.005743,0.005743,0.005743
131,137685,1.38675,1.26184,1.09247,0.42479,0.24273,0.23558,0.15032,1.26781,1.58491,1.00922,0.00571,0.00571,0.00571
132,138762,1.38692,1.26198,1.09367,0.42402,0.24431,0.23666,0.15078,1.26858,1.58242,1.00943,0.005677,0.005677,0.005677
133,139811,1.382,1.25882,1.091,0.42247,0.24458,0.23635,0.15137,1.26826,1.58269,1.00905,0.005644,0.005644,0.005644
134,140844,1.38392,1.2582,1.09129,0.42216,0.24252,0.23634,0.15041,1.26829,1.58203,1.00903,0.005611,0.005611,0.005611
135,141922,1.38429,1.25385,1.09237,0.42172,0.24164,0.23619,0.15112,1.26847,1.58274,1.00897,0.005578,0.005578,0.005578
136,142939,1.381,1.25047,1.09072,0.42674,0.2397,0.23368,0.14848,1.26866,1.57565,1.00914,0.005545,0.005545,0.005545
137,143983,1.38553,1.25115,1.09289,0.42559,0.23733,0.23359,0.14855,1.26937,1.57603,1.00941,0.005512,0.005512,0.005512
138,145036,1.38216,1.25209,1.08991,0.42168,0.24123,0.23125,0.14528,1.27009,1.56323,1.00952,0.005479,0.005479,0.005479
139,146052,1.37987,1.24062,1.08841,0.40569,0.24791,0.23246,0.14551,1.27003,1.55124,1.00949,0.005446,0.005446,0.005446
140,147151,1.37599,1.24347,1.08754,0.40749,0.24618,0.23217,0.14561,1.27062,1.53423,1.00961,0.005413,0.005413,0.005413
141,148192,1.38064,1.23844,1.08964,0.40779,0.24588,0.23262,0.14567,1.27065,1.52188,1.00955,0.00538,0.00538,0.00538
142,149220,1.37864,1.23741,1.08775,0.40643,0.24681,0.23273,0.14556,1.2712,1.51585,1.00979,0.005347,0.005347,0.005347
143,150204,1.37541,1.23865,1.08793,0.45745,0.24611,0.23207,0.14551,1.27135,1.51146,1.00988,0.005314,0.005314,0.005314
144,151226,1.37649,1.23538,1.08808,0.4607,0.24353,0.23229,0.14537,1.27165,1.51199,1.01012,0.005281,0.005281,0.005281
145,152273,1.37302,1.22923,1.08785,0.40379,0.24409,0.23309,0.14573,1.27158,1.51121,1.01016,0.005248,0.005248,0.005248
146,153368,1.37444,1.23242,1.08789,0.4602,0.24269,0.23319,0.14584,1.2719,1.50009,1.01023,0.005215,0.005215,0.005215
